,-69
12985282,80,-94
12985283,80,-74
12985284,15,-68
12985285,15,-80
12985286,43,-81
12985287,43,-87
12985288,43,-90
12985289,43,-73
12985290,80,-90
12985291,80,-71
12985292,80,-82
12985293,15,-82
12985294,15,-76
12985295,43,-77
12985296,43,-90
12985297,43,-82
12985298,43,-71
12985299,80,-90
12985300,80,-96
12985301,15,-64
12985302,15,-92
12985303,43,-87
12985304,43,-89
12985305,43,-74
12985306,43,-90
12985307,43,-71
12985308,80,-87
12985309,15,-64
12985310,15,-84
12985311,15,-80
12985312,43,-84
12985313,43,-82
12985314,43,-92
12985315,43,-97
12985316,80,-88
12985317,80,-76
12985318,80,-82
12985319,80,-96
12985320,15,-71
12985321,15,-78
12985322,43,-77
12985323,43,-72
12985324,80,-98
12985325,80,-97
12985326,15,-94
12985327,15,-78
12985328,43,-70
12985329,43,-92
12985330,43,-77
12985331,43,-86
12985332,43,-99
12985333,80,-80
12985334,80,-88
12985335,80,-85
12985336,15,-76
12985337,43,-69
12985338,43,-88
12985339,43,-87
12985340,43,-83
12985341,80,-95
12985342,80,-99
12985343,15,-70
12985344,15,-66
12985345,43,-78
12985346,43,-91
12985347,43,-79
12985348,43,-67
12985349,80,-87
12985350,80,-87
12985351,80,-76
12985352,15,-92
12985353,15,-65
12985354,43,-68
12985355,43,-75
12985356,43,-90
12985357,43,-79
12985358,43,-96
12985359,80,-86
12985360,80,-100
12985361,15,-82
12985362,15,-63
12985363,43,-87
12985364,43,-97
12985365,43,-84
12985366,43,-89
12985367,80,-95
12985368,80,-92
12985369,80,-95
12985370,80,-99
12985371,15,-68
12985372,15,-77
12985373,43,-73
12985374,43,-97
12985375,43,-90
12985376,43,-85
12985377,43,-91
12985378,80,-90
12985379,80,-90
12985380,80,-88
12985381,15,-66
12985382,15,-83
12985383,15,-87
12985384,15,-80
12985385,43,-78
12985386,43,-69
12985387,43,-87
12985388,43,-92
12985389,80,-85
12985390,80,-85
12985391,80,-83
12985392,80,-98
12985393,15,-78
12985394,15,-77
12985395,43,-69
12985396,43,-85
12985397,43,-82
12985398,43,-89
12985399,80,-88
12985400,15,-79
12985401,15,-76
12985402,15,-98
12985403,43,-95
12985404,80,-87
12985405,80,-98
12985406,80,-76
12985407,15,-67
12985408,15,-77
12985409,43,-82
12985410,43,-71
12985411,43,-85
12985412,43,-86
12985413,15,-62
12985414,15,-83
12985415,15,-70
12985416,43,-71
12985417,43,-82
12985418,43,-98
12985419,43,-72
12985420,80,-90
12985421,80,-87
12985422,80,-77
12985423,15,-92
12985424,15,-64
12985425,43,-81
12985426,43,-90
12985427,80,-96
12985428,15,-87
12985429,15,-83
12985430,15,-62
12985431,15,-79
12985432,43,-82
12985433,43,-70
12985434,80,-94
12985435,80,-87
12985436,80,-95
12985437,15,-80
12985438,43,-85
12985439,43,-80
12985440,43,-88
12985441,43,-70
12985442,80,-100
12985443,80,-87
12985444,15,-62
12985445,15,-97
12985446,43,-101
12985447,43,-75
12985448,80,-86
12985449,80,-72
12985450,80,-88
12985451,15,-80
12985452,43,-75
12985453,43,-79
12985454,43,-67
12985455,43,-97
12985456,80,-84
12985457,15,-62
12985458,15,-84
12985459,15,-67
12985460,43,-70
12985461,43,-84
12985462,43,-77
12985463,80,-86
12985464,15,-93
12985465,15,-81
12985466,43,-87
