,39,-76
12917054,6,-77
12917055,80,-87
12917056,80,-71
12917057,15,-82
12917058,15,-88
12917059,39,-78
12917060,39,-83
12917061,39,-89
12917062,39,-78
12917063,39,-80
12917064,39,-79
12917065,80,-68
12917066,80,-84
12917067,80,-96
12917068,80,-76
12917069,15,-69
12917070,15,-77
12917071,39,-89
12917072,39,-61
12917073,39,-83
12917074,39,-77
12917075,6,-75
12917076,6,-97
12917077,80,-71
12917078,15,-67
12917079,15,-80
12917080,39,-77
12917081,39,-87
12917082,39,-82
12917083,39,-99
12917084,39,-81
12917085,39,-94
12917086,6,-74
12917087,6,-83
12917088,80,-98
12917089,80,-86
12917090,80,-82
12917091,80,-83
12917092,15,-69
12917093,39,-76
12917094,6,-72
12917095,6,-93
12917096,6,-91
12917097,80,-71
12917098,6,-76
12917099,15,-78
12917100,15,-64
12917101,39,-76
12917102,39,-91
12917103,39,-76
12917104,6,-73
12917105,6,-85
12917106,6,-84
12917107,6,-92
12917108,80,-81
12917109,80,-88
12917110,80,-77
12917111,80,-86
12917112,80,-96
12917113,80,-81
12917114,15,-72
12917115,39,-81
12917116,6,-75
12917117,6,-92
12917118,6,-75
12917119,6,-97
12917120,80,-71
12917121,80,-85
12917122,15,-62
12917123,15,-72
12917124,39,-78
12917125,39,-59
12917126,39,-93
12917127,39,-74
12917128,6,-79
12917129,6,-87
12917130,6,-89
12917131,80,-85
12917132,80,-87
12917133,80,-89
12917134,80,-92
12917135,80,-73
12917136,15,-67
12917137,15,-76
12917138,39,-76
12917139,39,-89
12917140,39,-66
12917141,39,-61
12917142,39,-83
12917143,39,-94
12917144,39,-99
12917145,6,-69
12917146,6,-71
12917147,80,-82
12917148,80,-77
12917149,80,-82
12917150,15,-64
12917151,39,-75
12917152,39,-80
12917153,39,-72
12917154,39,-78
12917155,39,-59
12917156,39,-90
12917157,6,-84
12917158,6,-90
12917159,6,-92
12917160,80,-75
12917161,80,-80
12917162,80,-92
12917163,80,-80
12917164,15,-81
12917165,15,-88
12917166,39,-91
12917167,39,-81
12917168,39,-78
12917169,39,-86
12917170,39,-76
12917171,6,-85
12917172,6,-75
12917173,6,-87
12917174,80,-80
12917175,80,-83
12917176,15,-64
12917177,39,-71
12917178,39,-80
12917179,39,-77
12917180,39,-91
12917181,39,-93
12917182,6,-74
12917183,6,-75
12917184,80,-80
12917185,80,-76
12917186,80,-99
12917187,80,-83
12917188,80,-84
12917189,15,-67
12917190,39,-63
12917191,39,-64
12917192,39,-82
12917193,39,-79
12917194,39,-98
12917195,39,-89
12917196,6,-78
12917197,80,-84
12917198,15,-82
12917199,15,-64
12917200,6,-89
12917201,6,-98
12917202,6,-97
12917203,80,-81
12917204,80,-74
12917205,80,-86
12917206,80,-99
12917207,80,-78
12917208,80,-80
12917209,15,-72
12917210,15,-77
12917211,39,-90
12917212,39,-88
12917213,39,-69
12917214,39,-86
12917215,39,-84
12917216,6,-82
12917217,6,-81
12917218,6,-76
12917219,6,-88
12917220,80,-95
12917221,80,-89
12917222,80,-79
12917223,80,-68
12917224,80,-91
12917225,15,-78
12917226,39,-88
12917227,39,-61
12917228,39,-73
12917229,39,-79
12917230,39,-72
12917231,6,-88
12917232,6,-92
12917233,6,-76
12917234,80,-69
12917235,80,-91
12917236,15,-68
12917237,15,-63
12917238,39,-81
12917239,39,-68
12917240,39,-101
12917241,39,-79
12917242,39,-79
12917243,39,-96
12917244,6,-70
12917245,6,-90
12917246,6,-95
12917247,6,-86
12917248,80,-84
12917249,39,-60
12917250,39,-96
12917251,39,-78
12917252,6,-77
12917253,6,-89
12917254,6,-91
12917255,80,-81
12917256,80,-87
12917257,80,-97
12917258,15,-69
12917259,15,-76
12917260,39,-93
12917261,39,-77
12917262,39,-62
12917263,39,-85
12917264,39,-90
12917265,39,-87
12917266,39,-89
12917267,6,-86
12917268,6,-82
12917269,6,-72
12917270,6,-90
12917271,80,-88
12917272,80,-79
12917273,80,-93
12917274,80,-85
12917275,15,-67
12917276,39,-74
12917277,39,-67
12917278,39,-81
12917279,39,-80
12917280,39,-94
12917281,39,-86
12917282,39,-94
12917283,6,-75
12917284,80,-82
12917285,80,-75
12917286,80,-91
12917287,80,-88
12917288,15,-69
12917289,39,-83
12917290,39,-94
12917291,39,-78
12917292,39,-87
12917293,39,-85
12917294,39,-58
12917295,6,-86
12917296,6,-96
12917297,6,-77
12917298,80,-81
12917299,80,-97
12917300,15,-80
12917301,15,-64
12917302,39,-67
12917303,39,-89
12917304,39,-97
12917305,39,-78
12917306,39,-81
12917307,39,-94
12917308,6,-87
12917309,6,-77
12917310,6,-87
12917311,80,-87
12917312,80,-87
12917313,80,-78
12917314,80,-86
12917315,15,-76
12917316,15,-84
12917317,39,-84
12917318,39,-74
12917319,39,-81
12917320,39,-76
12917321,39,-88
12917322,39,-100
12917323,39,-61
12917324,39,-95
12917325,39,-88
12917326,6,-74
12917327,6,-87
12917328,6,-76
12917329,6,-99
12917330,80,-83
12917331,80,-78
12917332,80,-74
12917333,80,-78
12917334,80,-74
12917335,80,-62
12917336,15,-78
12917337,15,-81
12917338,39,-89
12917339,39,-72
12917340,39,-58
12917341,39,-93
12917342,39,-90
12917343,39,-86
12917344,6,-78
12917345,80,-79
12917346,80,-83
12917347,80,-75
12917348,15,-63
12917349,15,-84
12917350,39,-101
12917351,39,-96
12917352,39,-77
12917353,39,-76
12917354,39,-88
12917355,39,-79
12917356,39,-62
12917357,39,-96
12917358,39,-86
12917359,6,-83
12917360,6,-76
12917361,6,-83
12917362,80,-80
12917363,80,-72
12917364,80,-67
12917365,15,-78
12917366,80,-92
12917367,39,-66
12917368,39,-82
12917369,39,-94
12917370,39,-81
12917371,39,-79
12917372,39,-77
12917373,6,-97
12917374,6,-86
12917375,6,-73
12917376,6,-87
12917377,80,-82
12917378,80,-91
12917379,80,-94
12917380,80,-76
12917381,15,-88
12917382,15,-66
12917383,39,-62
12917384,39,-76
12917385,39,-79
12917386,39,-90
12917387,39,-87
12917388,39,-77
12917389,39,-85
12917390,39,-86
12917391,6,-71
12917392,6,-97
12917393,6,-72
12917394,80,-76
12917395,80,-77
12917396,80,-91
12917397,80,-71
12917398,80,-88
12917399,15,-67
12917400,15,-80
12917401,39,-79
12917402,39,-78
12917403,39,-90
12917404,39,-69
12917405,39,-91
12917406,39,-82
12917407,6,-83
12917408,6,-79
12917409,6,-70
12917410,80,-65
12917411,80,-72
12917412,80,-90
12917413,15,-62
12917414,15,-91
12917415,15,-84
12917416,39,-76
