,-90
12834294,67,-74
12834295,67,-93
12834296,67,-67
12834297,6,-69
12834298,6,-84
12834299,15,-72
12834300,15,-90
12834301,15,-78
12834302,15,-90
12834303,93,-86
12834304,93,-83
12834305,67,-98
12834306,67,-85
12834307,6,-72
12834308,6,-93
12834309,6,-78
12834310,6,-66
12834311,15,-67
12834312,73,-100
12834313,93,-90
12834314,93,-90
12834315,93,-51
12834316,67,-93
12834317,67,-102
12834318,67,-76
12834319,67,-82
12834320,6,-89
12834321,6,-83
12834322,6,-73
12834323,15,-80
12834324,15,-90
12834325,93,-66
12834326,93,-96
12834327,93,-82
12834328,67,-80
12834329,67,-84
12834330,6,-68
12834331,6,-80
12834332,15,-89
12834333,15,-63
12834334,73,-86
12834335,93,-90
12834336,93,-78
12834337,67,-86
12834338,67,-75
12834339,67,-84
12834340,67,-85
12834341,6,-71
12834342,15,-79
12834343,15,-86
12834344,73,-99
12834345,93,-91
12834346,93,-50
12834347,93,-79
12834348,6,-73
12834349,6,-83
12834350,6,-72
12834351,6,-98
12834352,15,-77
12834353,15,-71
12834354,73,-86
12834355,93,-52
12834356,67,-98
12834357,67,-76
12834358,67,-95
12834359,6,-81
12834360,6,-76
12834361,15,-76
12834362,15,-75
12834363,15,-89
12834364,93,-51
12834365,93,-79
12834366,93,-80
12834367,67,-94
12834368,67,-89
12834369,6,-89
12834370,15,-75
12834371,15,-82
12834372,73,-96
12834373,93,-66
12834374,93,-84
12834375,67,-92
12834376,6,-83
12834377,6,-80
12834378,15,-72
12834379,93,-80
12834380,93,-66
12834381,93,-82
12834382,67,-78
12834383,6,-73
12834384,6,-76
12834385,15,-73
12834386,15,-62
12834387,93,-52
12834388,6,-93
12834389,6,-93
12834390,15,-65
12834391,15,-87
12834392,93,-90
12834393,93,-76
12834394,93,-50
12834395,15,-99
12834396,15,-88
12834397,93,-80
12834398,93,-50
12834399,6,-94
12834400,6,-77
12834401,6,-83
12834402,15,-77
12834403,93,-78
12834404,93,-77
12834405,93,-50
12834406,6,-71
12834407,6,-75
12834408,6,-87
12834409,6,-89
