,-76
12836387,15,-66
12836388,93,-59
12836389,6,-99
12836390,6,-80
12836391,15,-85
12836392,93,-58
12836393,93,-93
12836394,93,-79
12836395,6,-74
12836396,6,-73
12836397,15,-81
12836398,93,-59
12836399,6,-74
12836400,15,-67
12836401,15,-72
12836402,93,-71
12836403,93,-84
12836404,93,-91
12836405,6,-90
12836406,6,-72
12836407,15,-69
12836408,6,-88
12836409,6,-76
12836410,6,-90
12836411,15,-73
12836412,15,-71
12836413,73,-88
12836414,93,-90
12836415,93,-78
12836416,93,-55
12836417,6,-90
12836418,6,-88
12836419,6,-90
12836420,15,-87
12836421,15,-68
12836422,93,-72
12836423,93,-98
12836424,6,-87
12836425,6,-83
12836426,6,-78
12836427,6,-85
12836428,15,-71
12836429,15,-83
12836430,15,-90
12836431,93,-56
12836432,93,-84
12836433,6,-85
12836434,6,-86
12836435,15,-63
12836436,15,-85
12836437,93,-81
12836438,93,-85
12836439,6,-100
12836440,6,-93
12836441,6,-86
12836442,6,-86
12836443,15,-69
12836444,15,-87
12836445,93,-79
12836446,93,-72
12836447,93,-82
12836448,6,-89
12836449,6,-85
12836450,6,-77
12836451,6,-82
12836452,15,-85
12836453,15,-79
12836454,93,-87
12836455,93,-80
12836456,6,-86
12836457,6,-87
12836458,6,-87
12836459,15,-81
12836460,15,-68
12836461,6,-83
12836462,93,-83
12836463,93,-72
12836464,6,-74
12836465,6,-68
12836466,6,-99
12836467,6,-69
12836468,15,-73
12836469,15,-63
12836470,93,-71
12836471,6,-81
12836472,6,-84
12836473,15,-69
12836474,15,-85
12836475,93,-71
12836476,93,-78
12836477,6,-82
12836478,6,-86
12836479,6,-87
12836480,15,-73
12836481,15,-79
12836482,93,-83
12836483,93,-89
12836484,93,-84
12836485,6,-87
12836486,6,-77
12836487,6,-78
12836488,6,-75
12836489,15,-91
12836490,15,-70
12836491,15,-99
12836492,93,-55
12836493,6,-78
12836494,6,-85
12836495,6,-85
12836496,6,-84
12836497,6,-80
12836498,15,-71
12836499,15,-70
12836500,93,-84
12836501,93,-79
12836502,6,-89
12836503,6,-73
12836504,6,-80
12836505,15,-71
12836506,15,-63
12836507,93,-98
12836508,93,-60
12836509,6,-77
12836510,6,-97
12836511,6,-70
12836512,15,-71
12836513,15,-65
12836514,15,-88
12836515,73,-99
12836516,93,-70
12836517,93,-85
12836518,93,-81
12836519,6,-74
12836520,6,-93
12836521,6,-90
12836522,6,-91
12836523,15,-73
12836524,15,-67
12836525,93,-86
12836526,93,-90
12836527,93,-72
12836528,6,-79
12836529,15,-81
12836530,15,-84
12836531,93,-85
12836532,93,-74
12836533,93,-86
12836534,6,-87
12836535,6,-74
12836536,6,-76
12836537,15,-73
12836538,15,-80
12836539,73,-89
12836540,6,-88
12836541,93,-72
12836542,93,-86
12836543,15,-69
12836544,15,-87
12836545,93,-84
12836546,93,-97
12836547,6,-83
12836548,6,-99
12836549,6,-85
12836550,15,-68
12836551,15,-71
12836552,93,-95
12836553,93,-56
12836554,93,-90
12836555,93,-91
12836556,6,-82
12836557,6,-77
12836558,15,-81
12836559,15,-75
12836560,15,-102
12836561,93,-85
12836562,93,-59
12836563,6,-90
12836564,6,-83
12836565,6,-78
12836566,15,-68
12836567,15,-85
12836568,93,-67
12836569,93,-82
12836570,93,-77
12836571,6,-77
12836572,6,-89
12836573,15,-88
12836574,15,-80
12836575,93,-56
12836576,93,-82
12836577,6,-74
12836578,6,-88
12836579,15,-69
12836580,15,-80
12836581,15,-90
12836582,93,-85
12836583,6,-73
12836584,6,-90
12836585,6,-74
12836586,6,-71
12836587,15,-65
12836588,15,-70
12836589,15,-88
12836590,93,-58
12836591,93,-97
12836592,6,-85
12836593,6,-71
