6,-84
12956641,96,-52
12956642,96,-52
12956643,96,-99
12956644,96,-83
12956645,96,-87
12956646,96,-63
12956647,96,-77
12956648,43,-76
12956649,43,-91
12956650,43,-88
12956651,43,-88
12956652,43,-89
12956653,43,-87
12956654,80,-97
12956655,15,-93
12956656,15,-80
12956657,96,-82
12956658,96,-89
12956659,96,-70
12956660,96,-98
12956661,96,-71
12956662,96,-72
12956663,96,-61
12956664,96,-86
12956665,43,-87
12956666,43,-96
12956667,96,-83
12956668,80,-95
12956669,80,-77
12956670,80,-84
12956671,15,-80
12956672,15,-80
12956673,15,-62
12956674,96,-66
12956675,96,-87
12956676,96,-57
12956677,96,-46
12956678,96,-83
12956679,15,-87
12956680,96,-81
12956681,43,-87
12956682,43,-82
12956683,43,-73
12956684,43,-78
12956685,80,-90
12956686,80,-84
12956687,80,-77
12956688,15,-66
12956689,15,-66
12956690,96,-90
12956691,96,-83
12956692,96,-52
12956693,96,-79
12956694,96,-84
12956695,43,-87
12956696,43,-85
12956697,96,-80
12956698,80,-76
12956699,80,-75
12956700,80,-67
12956701,15,-68
12956702,15,-62
12956703,96,-49
12956704,96,-97
12956705,96,-71
12956706,96,-96
12956707,96,-95
12956708,96,-83
12956709,96,-67
12956710,43,-71
12956711,43,-89
12956712,43,-77
12956713,15,-87
12956714,96,-77
12956715,80,-85
12956716,80,-83
12956717,80,-90
12956718,80,-87
12956719,80,-91
12956720,15,-66
12956721,15,-79
12956722,96,-50
12956723,96,-81
12956724,43,-74
12956725,43,-87
12956726,43,-79
12956727,96,-92
12956728,80,-87
12956729,80,-91
12956730,15,-77
12956731,15,-69
12956732,15,-96
12956733,96,-90
12956734,96,-67
12956735,96,-76
12956736,96,-82
12956737,96,-72
12956738,96,-88
12956739,43,-86
12956740,43,-84
12956741,43,-87
12956742,96,-84
12956743,80,-71
12956744,80,-87
12956745,80,-98
12956746,15,-82
12956747,96,-66
12956748,96,-72
12956749,96,-80
12956750,43,-85
12956751,43,-98
12956752,96,-78
12956753,96,-85
12956754,96,-92
12956755,80,-89
12956756,80,-95
12956757,80,-88
12956758,80,-85
12956759,80,-91
12956760,15,-79
12956761,96,-89
12956762,96,-86
12956763,96,-76
12956764,96,-68
12956765,96,-60
12956766,96,-81
12956767,43,-75
12956768,43,-77
12956769,43,-99
12956770,43,-85
12956771,43,-100
12956772,80,-74
12956773,80,-98
12956774,80,-93
12956775,80,-74
12956776,15,-67
12956777,15,-91
12956778,96,-76
12956779,96,-88
12956780,96,-74
12956781,96,-97
12956782,96,-87
12956783,43,-83
12956784,43,-87
12956785,43,-78
12956786,96,-79
12956787,96,-72
12956788,80,-91
12956789,80,-89
12956790,80,-80
12956791,96,-75
12956792,15,-81
12956793,15,-65
12956794,15,-62
12956795,96,-77
12956796,96,-82
12956797,96,-83
12956798,96,-91
12956799,96,-93
12956800,96,-92
12956801,96,-60
12956802,43,-85
12956803,43,-89
12956804,43,-68
12956805,80,-81
12956806,80,-69
12956807,80,-91
12956808,80,-86
12956809,80,-87
12956810,15,-66
12956811,15,-92
12956812,96,-84
12956813,96,-76
12956814,96,-93
12956815,96,-79
12956816,43,-90
12956817,43,-69
12956818,43,-73
12956819,43,-75
12956820,43,-92
12956821,80,-89
12956822,80,-78
12956823,80,-82
12956824,15,-65
12956825,15,-66
12956826,15,-94
12956827,96,-57
12956828,96,-81
12956829,96,-76
12956830,96,-71
12956831,43,-85
12956832,80,-72
12956833,80,-83
12956834,15,-80
12956835,96,-92
12956836,96,-67
12956837,96,-76
12956838,96,-99
12956839,96,-96
12956840,96,-71
12956841,96,-90
12956842,96,-63
12956843,96,-89
12956844,43,-79
12956845,43,-83
12956846,43,-90
12956847,43,-71
12956848,80,-89
12956849,80,-98
12956850,80,-75
12956851,15,-63
12956852,15,-83
12956853,15,-64
12956854,15,-95
12956855,96,-84
12956856,96,-75
12956857,96,-50
12956858,96,-72
12956859,96,-88
12956860,96,-79
12956861,43,-96
12956862,80,-86
12956863,80,-84
12956864,80,-87
12956865,80,-78
12956866,80,-71
12956867,15,-66
12956868,15,-78
12956869,96,-53
12956870,96,-90
12956871,96,-96
12956872,96,-66
12956873,96,-62
12956874,96,-75
12956875,43,-76
12956876,43,-73
12956877,43,-65
12956878,80,-96
12956879,80,-78
12956880,15,-66
12956881,15,-81
12956882,96,-81
12956883,96,-56
12956884,96,-90
12956885,96,-68
12956886,96,-92
12956887,43,-89
12956888,43,-79
12956889,43,-89
12956890,80,-77
12956891,80,-74
12956892,80,-75
12956893,15,-65
12956894,96,-82
12956895,96,-69
12956896,96,-91
12956897,96,-87
12956898,43,-87
12956899,43,-76
12956900,43,-85
12956901,43,-97
12956902,96,-67
12956903,96,-79
12956904,80,-80
12956905,80,-88
12956906,80,-80
12956907,15,-66
12956908,15,-81
12956909,96,-47
12956910,96,-85
12956911,96,-96
12956912,96,-68
12956913,96,-78
12956914,43,-72
12956915,43,-85
12956916,80,-73
12956917,80,-99
12956918,80,-87
12956919,15,-77
12956920,15,-79
12956921,96,-95
12956922,96,-48
12956923,96,-67
12956924,96,-76
12956925,96,-87
12956926,96,-68
12956927,43,-77
12956928,43,-67
12956929,43,-86
12956930,43,-73
12956931,80,-88
12956932,80,-95
12956933,15,-82
12956934,15,-76
12956935,96,-68
12956936,96,-87
12956937,96,-68
12956938,96,-73
12956939,43,-83
12956940,43,-75
12956941,43,-86
12956942,43,-96
12956943,96,-99
12956944,80,-89
12956945,80,-79
12956946,80,-72
12956947,15,-69
12956948,15,-76
12956949,96,-74
12956950,96,-76
12956951,96,-76
12956952,96,-51
12956953,96,-71
12956954,96,-99
12956955,96,-76
12956956,96,-84
12956957,43,-66
12956958,43,-88
12956959,43,-87
12956960,80,-71
12956961,80,-81
12956962,80,-93
12956963,15,-76
12956964,15,-69
12956965,96,-70
12956966,96,-88
12956967,96,-73
12956968,96,-59
12956969,43,-75
12956970,43,-73
12956971,80,-90
12956972,80,-74
12956973,80,-85
12956974,80,-97
12956975,80,-95
12956976,15,-81
12956977,15,-68
12956978,96,-81
12956979,96,-84
12956980,96,-75
12956981,96,-58
12956982,96,-79
12956983,43,-76
12956984,43,-80
12956985,43,-75
12956986,43,-75
12956987,80,-82
12956988,80,-77
12956989,15,-77
12956990,15,-81
12956991,96,-76
12956992,96,-86
12956993,96,-50
12956994,96,-62
12956995,96,-97
12956996,43,-87
12956997,96,-69
12956998,43,-96
12956999,80,-83
12957000,80,-100
12957001,15,-81
12957002,15,-80
