6,-87
12939928,6,-84
12939929,80,-72
12939930,80,-70
12939931,80,-74
12939932,80,-89
12939933,80,-95
12939934,80,-85
12939935,15,-89
12939936,15,-83
12939937,6,-98
12939938,80,-74
12939939,80,-68
12939940,80,-83
12939941,80,-98
12939942,80,-75
12939943,80,-86
12939944,15,-70
12939945,15,-66
12939946,15,-85
12939947,6,-75
12939948,6,-87
12939949,80,-66
12939950,80,-71
12939951,80,-79
12939952,80,-89
12939953,80,-70
12939954,80,-84
12939955,80,-75
12939956,80,-85
12939957,15,-73
12939958,15,-76
12939959,6,-100
12939960,80,-91
12939961,80,-78
12939962,80,-81
12939963,80,-93
12939964,80,-76
12939965,80,-80
12939966,15,-73
12939967,80,-79
12939968,6,-82
12939969,6,-75
12939970,6,-72
12939971,6,-80
12939972,6,-73
12939973,80,-61
12939974,80,-69
12939975,80,-84
12939976,80,-83
12939977,80,-77
12939978,80,-79
12939979,80,-71
12939980,15,-62
12939981,6,-71
12939982,6,-97
12939983,6,-86
12939984,80,-76
12939985,80,-67
12939986,80,-95
12939987,80,-66
12939988,15,-80
12939989,80,-80
12939990,6,-68
12939991,80,-83
12939992,80,-87
12939993,80,-69
12939994,15,-73
12939995,15,-72
12939996,6,-81
12939997,6,-89
12939998,6,-70
12939999,6,-86
12940000,6,-75
12940001,80,-96
12940002,80,-72
12940003,80,-78
12940004,80,-100
12940005,80,-68
12940006,80,-87
12940007,80,-97
12940008,80,-75
12940009,80,-76
12940010,15,-80
12940011,15,-94
12940012,6,-94
12940013,6,-81
12940014,6,-82
12940015,80,-94
12940016,80,-67
12940017,80,-82
12940018,80,-99
12940019,80,-90
12940020,80,-76
12940021,80,-73
12940022,15,-72
12940023,15,-69
12940024,6,-71
12940025,6,-88
12940026,6,-79
12940027,6,-90
12940028,6,-91
12940029,6,-100
12940030,80,-93
12940031,80,-78
12940032,80,-86
12940033,80,-87
12940034,80,-79
12940035,80,-87
12940036,80,-89
12940037,80,-64
12940038,15,-96
12940039,15,-62
12940040,15,-71
12940041,6,-72
12940042,6,-84
12940043,6,-87
12940044,6,-80
12940045,80,-76
12940046,80,-96
12940047,80,-83
12940048,80,-80
12940049,80,-81
12940050,80,-87
12940051,15,-75
12940052,6,-85
12940053,6,-69
12940054,6,-84
12940055,80,-85
12940056,80,-89
12940057,80,-86
12940058,80,-93
12940059,6,-77
12940060,80,-98
12940061,80,-91
12940062,15,-85
12940063,15,-71
12940064,80,-80
12940065,6,-90
12940066,6,-86
12940067,80,-91
12940068,80,-82
12940069,80,-82
12940070,80,-96
12940071,6,-87
12940072,15,-94
12940073,15,-72
12940074,80,-70
12940075,80,-76
12940076,80,-81
12940077,80,-88
12940078,80,-73
12940079,80,-70
12940080,80,-85
12940081,15,-71
12940082,15,-78
12940083,6,-81
12940084,6,-75
12940085,6,-93
12940086,80,-89
12940087,80,-90
12940088,80,-70
12940089,6,-73
12940090,80,-63
12940091,80,-70
12940092,80,-83
12940093,15,-86
12940094,15,-86
12940095,6,-72
12940096,80,-77
12940097,6,-79
12940098,80,-84
