80,-73
12881865,80,-78
12881866,80,-79
12881867,80,-79
12881868,80,-85
12881869,80,-74
12881870,15,-91
12881871,15,-66
12881872,15,-99
12881873,15,-91
12881874,39,-96
12881875,39,-91
12881876,39,-70
12881877,39,-87
12881878,96,-81
12881879,6,-91
12881880,6,-86
12881881,6,-89
12881882,6,-79
12881883,80,-76
12881884,80,-84
12881885,80,-85
12881886,80,-84
12881887,80,-96
12881888,80,-93
12881889,15,-86
12881890,39,-86
12881891,39,-69
12881892,39,-95
12881893,39,-83
12881894,96,-75
12881895,96,-57
12881896,6,-74
12881897,6,-74
12881898,6,-79
12881899,80,-94
12881900,80,-77
12881901,80,-81
12881902,80,-89
12881903,80,-78
12881904,15,-87
12881905,15,-92
12881906,15,-64
12881907,39,-83
12881908,39,-80
12881909,39,-70
12881910,39,-96
12881911,96,-66
12881912,80,-71
12881913,80,-80
12881914,80,-88
12881915,80,-85
12881916,15,-72
12881917,15,-74
12881918,39,-90
12881919,39,-72
12881920,96,-99
12881921,6,-87
12881922,6,-85
12881923,6,-89
12881924,6,-87
12881925,6,-76
12881926,80,-89
12881927,80,-81
12881928,80,-68
12881929,80,-67
12881930,80,-73
12881931,15,-64
12881932,15,-76
12881933,96,-81
12881934,6,-73
12881935,6,-82
12881936,6,-70
12881937,80,-76
12881938,80,-77
12881939,80,-84
12881940,80,-84
12881941,80,-73
12881942,80,-70
12881943,15,-88
12881944,39,-86
12881945,39,-75
12881946,39,-86
12881947,39,-83
12881948,6,-76
12881949,6,-76
12881950,6,-75
12881951,6,-96
12881952,80,-87
12881953,80,-88
12881954,80,-81
12881955,80,-80
12881956,80,-71
12881957,15,-65
12881958,15,-83
12881959,39,-77
12881960,39,-79
12881961,6,-87
12881962,6,-86
12881963,6,-74
12881964,80,-84
12881965,80,-89
12881966,80,-91
12881967,80,-94
12881968,80,-71
12881969,15,-82
12881970,39,-76
12881971,96,-73
12881972,39,-98
12881973,96,-99
12881974,6,-91
12881975,96,-85
12881976,80,-88
12881977,80,-76
12881978,80,-94
12881979,80,-76
12881980,80,-72
12881981,80,-71
12881982,39,-77
12881983,39,-71
12881984,96,-90
12881985,96,-69
12881986,6,-89
12881987,80,-70
12881988,80,-82
12881989,80,-91
12881990,80,-81
12881991,15,-74
12881992,15,-86
12881993,39,-87
12881994,39,-79
12881995,39,-76
12881996,39,-97
12881997,39,-94
12881998,6,-86
12881999,6,-100
12882000,6,-72
12882001,6,-85
12882002,6,-81
12882003,80,-78
12882004,80,-71
12882005,80,-78
12882006,80,-91
12882007,15,-98
12882008,39,-99
12882009,39,-94
12882010,39,-74
12882011,96,-76
12882012,6,-87
12882013,80,-69
12882014,80,-100
12882015,80,-79
12882016,80,-94
12882017,15,-70
12882018,15,-68
12882019,39,-89
12882020,39,-79
12882021,39,-88
12882022,39,-97
12882023,39,-78
12882024,6,-88
12882025,6,-88
12882026,6,-83
12882027,6,-102
12882028,80,-99
12882029,80,-81
12882030,80,-87
12882031,80,-90
12882032,80,-73
12882033,80,-80
12882034,15,-92
12882035,96,-88
12882036,96,-73
12882037,6,-74
12882038,6,-85
12882039,6,-85
12882040,15,-69
12882041,15,-73
12882042,6,-94
12882043,6,-94
12882044,6,-72
12882045,80,-74
12882046,80,-82
12882047,15,-80
12882048,15,-78
12882049,39,-94
12882050,39,-87
12882051,39,-86
12882052,39,-98
12882053,39,-77
12882054,39,-86
12882055,96,-72
12882056,6,-87
12882057,6,-76
12882058,6,-87
12882059,6,-86
12882060,80,-98
12882061,80,-86
12882062,80,-83
12882063,80,-71
12882064,15,-80
12882065,15,-73
12882066,39,-90
12882067,39,-83
12882068,39,-102
12882069,39,-88
12882070,39,-72
