,6,-96
12944128,80,-76
12944129,80,-86
12944130,80,-78
12944131,80,-96
12944132,15,-81
12944133,15,-77
12944134,6,-91
12944135,6,-94
12944136,6,-88
12944137,6,-73
12944138,80,-78
12944139,15,-73
12944140,15,-95
12944141,15,-69
12944142,6,-84
12944143,6,-79
12944144,6,-87
12944145,6,-98
12944146,6,-100
12944147,6,-85
12944148,80,-76
12944149,80,-74
12944150,15,-85
12944151,15,-80
12944152,6,-74
12944153,6,-84
12944154,6,-95
12944155,6,-80
12944156,6,-70
12944157,80,-94
12944158,80,-94
12944159,80,-97
12944160,15,-85
12944161,15,-73
12944162,6,-76
12944163,6,-89
12944164,6,-87
12944165,6,-103
12944166,6,-96
12944167,80,-76
12944168,80,-77
12944169,15,-83
12944170,6,-75
12944171,6,-79
12944172,6,-85
12944173,15,-85
12944174,15,-88
12944175,6,-94
12944176,6,-90
12944177,80,-76
12944178,80,-96
12944179,15,-83
12944180,15,-77
12944181,6,-85
12944182,6,-94
12944183,6,-76
12944184,6,-74
12944185,80,-94
12944186,80,-87
12944187,15,-94
12944188,15,-74
12944189,15,-85
12944190,6,-81
12944191,6,-67
12944192,6,-83
12944193,6,-85
12944194,80,-75
12944195,80,-89
12944196,15,-81
12944197,15,-79
12944198,6,-78
12944199,6,-95
12944200,6,-93
12944201,80,-85
12944202,80,-94
12944203,80,-86
12944204,15,-73
12944205,15,-70
12944206,6,-76
12944207,6,-90
12944208,6,-94
12944209,6,-85
12944210,80,-91
12944211,80,-92
12944212,80,-69
12944213,15,-79
12944214,15,-86
12944215,6,-79
12944216,6,-77
12944217,6,-85
12944218,6,-80
12944219,80,-87
12944220,80,-83
12944221,15,-68
12944222,15,-63
12944223,6,-77
12944224,6,-92
12944225,6,-75
12944226,6,-74
12944227,80,-93
12944228,80,-82
12944229,15,-86
12944230,6,-67
12944231,6,-90
12944232,80,-85
12944233,80,-75
12944234,80,-87
12944235,15,-66
12944236,15,-72
12944237,6,-93
12944238,6,-76
12944239,6,-83
12944240,6,-91
12944241,6,-85
12944242,80,-92
12944243,15,-100
12944244,6,-85
12944245,80,-77
12944246,80,-89
12944247,15,-70
12944248,15,-63
12944249,6,-79
12944250,6,-71
12944251,6,-72
12944252,6,-73
12944253,15,-85
12944254,15,-76
12944255,80,-78
12944256,80,-96
12944257,80,-85
12944258,15,-65
12944259,15,-82
12944260,6,-87
12944261,6,-84
12944262,6,-80
12944263,6,-75
12944264,80,-97
12944265,15,-89
12944266,15,-95
12944267,15,-70
12944268,6,-83
12944269,6,-82
12944270,6,-97
12944271,80,-84
12944272,80,-78
12944273,15,-67
12944274,15,-77
12944275,6,-71
12944276,6,-93
12944277,6,-77
12944278,6,-87
12944279,80,-72
12944280,80,-73
12944281,15,-76
12944282,15,-85
12944283,15,-86
12944284,6,-96
12944285,6,-64
12944286,6,-89
12944287,80,-76
12944288,15,-81
12944289,15,-80
12944290,6,-81
12944291,6,-71
12944292,6,-78
12944293,80,-84
12944294,80,-96
12944295,15,-85
12944296,15,-89
12944297,6,-66
12944298,6,-86
12944299,80,-87
12944300,15,-68
12944301,6,-84
12944302,6,-87
12944303,6,-84
12944304,6,-71
12944305,80,-96
12944306,80,-98
12944307,15,-82
12944308,15,-98
12944309,15,-100
12944310,15,-73
12944311,6,-78
12944312,6,-96
12944313,6,-75
12944314,6,-97
12944315,6,-78
12944316,80,-90
12944317,80,-92
12944318,15,-67
12944319,15,-62
12944320,6,-91
12944321,6,-79
12944322,6,-81
12944323,80,-85
12944324,80,-82
12944325,15,-83
12944326,15,-88
12944327,6,-76
12944328,6,-76
12944329,6,-86
12944330,6,-72
12944331,6,-78
12944332,80,-78
12944333,15,-83
12944334,15,-64
12944335,6,-75
12944336,80,-96
12944337,80,-101
12944338,15,-66
12944339,15,-83
12944340,80,-83
12944341,6,-98
12944342,80,-90
12944343,80,-74
12944344,80,-80
12944345,80,-92
12944346,80,-77
12944347,6,-97
12944348,80,-84
12944349,6,-85
12944350,80,-76
12944351,80,-93
12944352,80,-79
12944353,80,-79
12944354,6,-76
12944355,6,-91
12944356,6,-69
12944357,6,-90
12944358,6,-73
12944359,80,-78
12944360,80,-77
12944361,15,-67
12944362,15,-81
12944363,6,-80
12944364,6,-94
12944365,6,-77
12944366,6,-95
12944367,80,-85
12944368,80,-92
12944369,80,-91
12944370,80,-88
12944371,15,-89
12944372,15,-95
12944373,6,-76
12944374,6,-90
12944375,6,-96
12944376,6,-71
12944377,6,-90
12944378,80,-98
12944379,80,-76
12944380,80,-79
12944381,80,-100
12944382,15,-84
12944383,15,-63
12944384,6,-66
12944385,6,-89
12944386,6,-78
12944387,80,-91
12944388,80,-92
12944389,80,-104
12944390,15,-84
12944391,15,-89
12944392,15,-66
12944393,6,-79
12944394,6,-98
12944395,6,-75
12944396,6,-96
12944397,6,-78
12944398,6,-90
12944399,80,-80
12944400,80,-72
12944401,80,-89
12944402,15,-69
12944403,15,-101
12944404,6,-79
12944405,6,-77
12944406,6,-76
12944407,6,-87
12944408,80,-91
12944409,80,-78
12944410,80,-88
12944411,80,-101
12944412,80,-98
12944413,15,-89
12944414,15,-67
12944415,6,-78
12944416,6,-99
12944417,6,-83
12944418,6,-95
12944419,6,-97
12944420,80,-86
12944421,80,-88
12944422,80,-86
12944423,80,-90
12944424,15,-62
12944425,6,-80
12944426,6,-75
12944427,6,-87
12944428,6,-83
12944429,6,-78
12944430,80,-78
12944431,80,-73
12944432,80,-88
12944433,15,-84
12944434,15,-76
12944435,15,-96
12944436,6,-78
12944437,6,-89
12944438,80,-85
12944439,15,-87
12944440,6,-91
12944441,6,-93
12944442,6,-71
12944443,6,-75
12944444,80,-77
12944445,80,-87
12944446,80,-85
12944447,15,-95
12944448,15,-73
12944449,6,-89
12944450,6,-97
12944451,6,-97
12944452,6,-95
12944453,6,-77
12944454,80,-96
12944455,15,-77
12944456,6,-90
12944457,6,-86
12944458,6,-74
12944459,80,-81
12944460,80,-83
12944461,15,-85
12944462,6,-66
12944463,6,-89
12944464,6,-94
12944465,6,-85
12944466,80,-85
12944467,80,-96
12944468,80,-81
12944469,15,-67
12944470,15,-77
12944471,6,-73
12944472,6,-74
12944473,6,-87
12944474,6,-79
12944475,6,-85
12944476,80,-74
12944477,6,-88
12944478,80,-78
12944479,15,-96
12944480,15,-86
12944481,6,-80
12944482,6,-95
12944483,6,-78
12944484,15,-67
12944485,15,-66
12944486,6,-92
12944487,6,-70
12944488,6,-75
12944489,6,-92
12944490,80,-85
12944491,80,-100
12944492,80,-78
12944493,15,-66
12944494,6,-82
12944495,6,-77
12944496,6,-88
12944497,6,-83
12944498,6,-74
12944499,80,-89
12944500,15,-74
12944501,15,-67
12944502,6,-85
12944503,6,-90
12944504,6,-78
12944505,6,-86
12944506,80,-76
12944507,80,-84
12944508,15,-86
12944509,15,-80
12944510,6,-77
12944511,6,-90
12944512,6,-66
12944513,80,-74
12944514,15,-77
12944515,6,-87
12944516,6,-73
12944517,6,-91
12944518,80,-84
12944519,80,-88
12944520,80,-89
12944521,15,-73
12944522,15,-79
12944523,6,-77
12944524,6,-84
12944525,6,-62
12944526,80,-80
12944527,80,-73
12944528,15,-83
12944529,15,-63
12944530,6,-76
12944531,80,-84
12944532,15,-66
12944533,6,-78
12944534,6,-85
12944535,6,-92
12944536,6,-89
12944537,80,-92
12944538,80,-70
12944539,15,-67
12944540,15,-86
12944541,15,-89
12944542,6,-95
12944543,6,-88
12944544,6,-90
12944545,6,-72
12944546,80,-85
12944547,80,-95
12944548,15,-98
12944549,15,-83
12944550,80,-79
12944551,6,-97
12944552,80,-80
12944553,80,-82
12944554,80,-77
12944555,80,-73
12944556,80,-90
12944557,6,-85
12944558,6,-80
12944559,6,-86
12944560,6,-78
12944561,6,-85
12944562,80,-83
12944563,80,-89
12944564,80,-83
12944565,80,-90
12944566,80,-73
12944567,15,-67
12944568,15,-74
12944569,6,-78
12944570,6,-95
12944571,6,-74
12944572,80,-75
12944573,80,-83
12944574,15,-99
12944575,15,-69
12944576,6,-73
12944577,6,-86
12944578,80,-85
12944579,80,-90
12944580,80,-84
12944581,15,-86
12944582,15,-89
12944583,15,-85
12944584,6,-70
12944585,6,-90
12944586,6,-95
12944587,6,-75
12944588,80,-86
12944589,15,-84
12944590,6,-85
12944591,6,-86
12944592,6,-93
12944593,6,-86
12944594,6,-79
12944595,80,-84
12944596,80,-96
12944597,80,-98
12944598,80,-86
12944599,15,-83
12944600,15,-85
12944601,15,-101
12944602,6,-75
12944603,6,-79
12944604,6,-93
12944605,80,-79
12944606,80,-86
12944607,80,-76
12944608,15,-77
12944609,15,-82
12944610,6,-89
12944611,6,-89
12944612,6,-95
12944613,6,-75
12944614,6,-90
12944615,6,-77
12944616,80,-83
12944617,15,-65
12944618,15,-73
12944619,6,-76
12944620,6,-96
12944621,6,-88
12944622,80,-87
12944623,15,-82
12944624,15,-63
12944625,6,-77
12944626,6,-73
12944627,6,-92
12944628,6,-72
12944629,15,-65
12944630,15,-85
12944631,6,-82
12944632,6,-77
12944633,6,-87
12944634,6,-87
12944635,6,-90
12944636,80,-85
12944637,15,-71
12944638,15,-90
12944639,80,-90
12944640,6,-75
12944641,6,-81
12944642,80,-96
12944643,15,-102
12944644,15,-66
12944645,6,-76
12944646,6,-75
12944647,6,-97
12944648,80,-79
12944649,80,-94
12944650,15,-72
12944651,15,-63
12944652,6,-74
12944653,6,-73
12944654,6,-79
12944655,80,-80
12944656,80,-87
12944657,80,-81
12944658,80,-85
12944659,15,-79
12944660,15,-98
12944661,6,-83
12944662,6,-76
12944663,6,-86
12944664,6,-76
12944665,6,-89
12944666,80,-94
12944667,15,-77
12944668,6,-74
12944669,6,-95
12944670,6,-90
12944671,6,-96
12944672,6,-79
12944673,80,-80
12944674,80,-90
12944675,80,-96
12944676,80,-72
12944677,80,-89
12944678,15,-73
12944679,15,-66
12944680,6,-80
12944681,6,-78
12944682,6,-87
12944683,6,-90
12944684,6,-87
12944685,80,-80
12944686,15,-66
12944687,6,-85
12944688,6,-83
12944689,6,-91
12944690,6,-84
12944691,80,-85
12944692,80,-92
12944693,80,-87
12944694,15,-80
12944695,6,-80
12944696,6,-83
12944697,6,-89
12944698,6,-87
12944699,80,-101
12944700,15,-69
12944701,15,-63
12944702,6,-76
12944703,6,-85
12944704,6,-84
12944705,80,-93
12944706,80,-87
12944707,15,-85
12944708,15,-95
12944709,6,-81
12944710,6,-93
12944711,6,-73
12944712,15,-67
12944713,6,-84
12944714,6,-95
12944715,6,-81
12944716,6,-63
12944717,80,-82
12944718,80,-72
12944719,80,-83
12944720,15,-84
12944721,15,-66
12944722,6,-74
12944723,6,-70
12944724,6,-89
12944725,6,-92
12944726,80,-87
12944727,80,-96
12944728,15,-83
12944729,15,-77
12944730,15,-95
12944731,6,-79
12944732,6,-72
12944733,6,-97
12944734,6,-78
12944735,6,-73
12944736,80,-71
12944737,80,-89
12944738,80,-92
12944739,15,-78
12944740,15,-85
12944741,6,-73
12944742,6,-75
12944743,6,-92
12944744,80,-81
12944745,80,-101
12944746,80,-103
12944747,15,-67
12944748,15,-72
12944749,15,-95
12944750,6,-73
12944751,6,-97
12944752,6,-86
12944753,80,-76
12944754,80,-76
12944755,15,-79
12944756,6,-81
12944757,6,-78
12944758,6,-91
12944759,80,-87
12944760,80,-80
12944761,80,-100
12944762,15,-83
12944763,15,-73
12944764,15,-75
12944765,6,-95
12944766,6,-76
12944767,6,-85
12944768,80,-93
12944769,15,-63
12944770,6,-97
12944771,6,-89
12944772,6,-88
12944773,6,-85
12944774,15,-84
12944775,6,-84
12944776,6,-75
12944777,6,-84
12944778,6,-91
12944779,6,-76
12944780,80,-91
12944781,80,-96
12944782,80,-99
12944783,15,-67
12944784,15,-77
12944785,6,-66
12944786,6,-62
12944787,6,-86
12944788,80,-80
12944789,15,-84
12944790,15,-84
12944791,6,-84
12944792,6,-84
12944793,6,-86
12944794,6,-81
12944795,80,-67
12944796,15,-62
12944797,6,-76
12944798,6,-89
12944799,6,-86
12944800,80,-95
12944801,80,-78
12944802,15,-69
12944803,15,-87
12944804,15,-84
12944805,6,-74
12944806,6,-93
12944807,80,-73
12944808,80,-87
12944809,15,-87
12944810,15,-76
12944811,6,-66
12944812,6,-84
12944813,6,-76
12944814,80,-87
12944815,80,-79
12944816,80,-93
12944817,80,-86
12944818,80,-90
12944819,80,-92
12944820,80,-76
12944821,80,-91
12944822,80,-96
12944823,80,-86
12944824,80,-92
12944825,80,-77
12944826,80,-77
12944827,80,-84
12944828,80,-92
12944829,80,-83
12944830,6,-90
12944831,80,-79
12944832,80,-85
12944833,80,-85
12944834,15,-72
12944835,15,-75
12944836,15,-85
12944837,6,-95
12944838,6,-83
12944839,6,-83
12944840,80,-86
12944841,80,-80
12944842,80,-82
12944843,15,-62
12944844,6,-70
12944845,6,-62
12944846,80,-77
12944847,80,-81
12944848,80,-93
12944849,15,-79
12944850,6,-93
12944851,6,-77
12944852,6,-71
12944853,6,-74
12944854,80,-91
12944855,15,-68
12944856,15,-62
12944857,6,-84
12944858,6,-63
12944859,6,-84
12944860,80,-85
12944861,80,-86
12944862,15,-85
12944863,15,-87
12944864,15,-95
12944865,6,-74
12944866,6,-90
12944867,6,-76
12944868,80,-82
12944869,80,-80
12944870,15,-63
12944871,15,-83
12944872,6,-82
12944873,6,-78
12944874,6,-86
12944875,80,-91
12944876,80,-87
12944877,80,-75
12944878,15,-72
12944879,6,-89
12944880,80,-79
12944881,80,-79
12944882,80,-84
12944883,80,-89
12944884,15,-76
12944885,80,-98
12944886,6,-95
12944887,6,-77
12944888,6,-79
12944889,80,-86
12944890,80,-79
12944891,15,-86
12944892,15,-84
12944893,15,-86
12944894,6,-84
12944895,80,-86
12944896,80,-88
12944897,15,-62
12944898,6,-74
12944899,6,-78
12944900,6,-88
12944901,6,-62
12944902,80,-77
12944903,15,-72
12944904,6,-83
12944905,6,-87
12944906,80,-89
12944907,80,-86
12944908,80,-100
12944909,80,-96
12944910,80,-96
12944911,15,-81
12944912,15,-76
12944913,6,-86
12944914,6,-97
12944915,6,-87
12944916,6,-78
12944917,6,-77
12944918,80,-79
12944919,80,-89
12944920,15,-65
12944921,6,-80
12944922,6,-83
12944923,6,-64
12944924,80,-78
12944925,80,-95
12944926,15,-67
12944927,15,-62
12944928,6,-100
12944929,6,-74
12944930,6,-82
12944931,80,-76
12944932,15,-85
12944933,15,-68
12944934,15,-88
12944935,6,-88
12944936,6,-62
12944937,80,-79
12944938,80,-94
12944939,80,-97
12944940,15,-65
12944941,6,-87
12944942,6,-83
12944943,80,-80
12944944,80,-98
12944945,80,-74
12944946,15,-71
12944947,15,-88
12944948,6,-77
12944949,6,-85
12944950,80,-85
12944951,80,-75
12944952,15,-78
