6,-69
12875651,93,-62
12875652,6,-87
12875653,80,-90
12875654,80,-90
12875655,80,-93
12875656,15,-65
12875657,15,-68
12875658,39,-79
12875659,39,-87
12875660,39,-68
12875661,39,-85
12875662,39,-86
12875663,39,-95
12875664,39,-84
12875665,93,-62
12875666,6,-72
12875667,6,-79
12875668,6,-76
12875669,80,-90
12875670,80,-75
12875671,80,-71
12875672,15,-76
12875673,39,-74
12875674,39,-68
12875675,39,-79
12875676,80,-80
12875677,93,-98
12875678,93,-73
12875679,6,-89
12875680,6,-74
12875681,6,-85
12875682,6,-75
12875683,80,-70
12875684,80,-80
12875685,80,-92
12875686,80,-97
12875687,15,-68
12875688,15,-66
12875689,39,-77
12875690,39,-84
12875691,39,-87
12875692,39,-89
12875693,93,-77
12875694,6,-84
12875695,6,-89
12875696,6,-83
12875697,6,-87
12875698,6,-72
12875699,6,-94
12875700,80,-71
12875701,15,-78
12875702,15,-69
12875703,39,-89
12875704,39,-77
12875705,39,-90
12875706,39,-85
12875707,80,-78
12875708,93,-43
12875709,93,-77
12875710,6,-83
12875711,6,-82
12875712,80,-76
12875713,80,-84
12875714,80,-93
12875715,15,-70
12875716,39,-78
12875717,39,-79
12875718,39,-85
12875719,39,-85
12875720,39,-85
12875721,39,-95
12875722,39,-89
12875723,93,-77
12875724,93,-99
12875725,6,-89
12875726,6,-84
12875727,6,-85
12875728,80,-87
12875729,80,-84
12875730,80,-85
12875731,80,-71
12875732,80,-78
12875733,80,-82
12875734,15,-67
12875735,15,-80
12875736,80,-83
12875737,39,-88
12875738,39,-98
12875739,39,-95
12875740,80,-86
12875741,93,-65
12875742,6,-71
12875743,6,-91
12875744,80,-72
12875745,80,-75
12875746,15,-85
12875747,39,-79
12875748,39,-84
12875749,39,-88
12875750,39,-89
12875751,96,-53
12875752,96,-54
12875753,93,-81
12875754,6,-74
12875755,6,-83
12875756,6,-92
12875757,6,-88
12875758,6,-87
12875759,6,-97
12875760,80,-95
12875761,80,-86
12875762,15,-78
12875763,39,-83
12875764,39,-88
12875765,39,-85
12875766,39,-91
12875767,93,-69
12875768,6,-76
12875769,96,-89
12875770,6,-82
12875771,6,-74
12875772,80,-81
12875773,80,-85
12875774,15,-75
12875775,15,-69
12875776,39,-91
12875777,39,-75
12875778,39,-89
12875779,39,-94
12875780,93,-56
12875781,6,-84
12875782,80,-94
12875783,80,-92
12875784,80,-102
12875785,80,-78
12875786,80,-71
12875787,15,-72
12875788,15,-88
12875789,39,-98
12875790,39,-88
12875791,39,-90
12875792,39,-77
12875793,39,-82
12875794,39,-92
12875795,93,-56
12875796,6,-74
12875797,6,-73
12875798,96,-83
12875799,6,-87
12875800,15,-75
12875801,15,-63
12875802,93,-54
12875803,6,-77
12875804,6,-79
12875805,6,-101
12875806,80,-86
12875807,80,-72
12875808,80,-97
12875809,80,-80
12875810,80,-95
12875811,15,-75
12875812,39,-71
12875813,39,-94
12875814,39,-69
12875815,39,-95
12875816,39,-98
12875817,39,-76
12875818,93,-87
12875819,93,-56
12875820,96,-93
12875821,6,-73
12875822,6,-87
12875823,6,-72
12875824,6,-96
12875825,6,-76
12875826,80,-90
12875827,80,-80
12875828,80,-87
12875829,80,-89
12875830,80,-81
12875831,15,-79
12875832,15,-68
12875833,39,-79
12875834,39,-86
12875835,39,-76
12875836,39,-89
12875837,39,-85
12875838,39,-94
12875839,93,-84
12875840,93,-74
12875841,6,-73
12875842,80,-80
12875843,80,-99
12875844,80,-100
12875845,39,-87
12875846,39,-94
12875847,39,-98
12875848,39,-73
12875849,6,-78
12875850,6,-84
12875851,93,-57
12875852,6,-73
12875853,80,-77
12875854,80,-98
12875855,15,-64
12875856,39,-84
12875857,93,-86
12875858,6,-91
12875859,6,-79
12875860,93,-85
12875861,80,-84
12875862,80,-95
12875863,80,-71
12875864,80,-99
12875865,15,-89
12875866,15,-68
12875867,15,-74
12875868,39,-77
12875869,93,-89
12875870,93,-72
12875871,6,-83
12875872,6,-93
12875873,6,-75
12875874,80,-77
12875875,80,-85
12875876,15,-68
12875877,39,-85
12875878,39,-78
12875879,39,-71
12875880,93,-56
12875881,6,-86
12875882,6,-75
12875883,6,-76
12875884,80,-83
12875885,80,-92
12875886,80,-85
12875887,80,-92
12875888,80,-95
12875889,15,-79
12875890,15,-68
12875891,39,-90
12875892,39,-89
12875893,39,-98
12875894,39,-95
12875895,39,-89
12875896,39,-73
12875897,93,-58
12875898,6,-79
12875899,6,-76
12875900,80,-82
12875901,80,-86
12875902,80,-104
12875903,80,-95
12875904,80,-93
12875905,80,-78
12875906,15,-85
12875907,39,-98
12875908,39,-92
12875909,93,-79
12875910,6,-73
12875911,6,-94
12875912,15,-74
12875913,15,-84
12875914,39,-78
12875915,39,-70
12875916,39,-97
12875917,39,-85
12875918,93,-58
12875919,6,-82
12875920,6,-77
12875921,6,-85
12875922,6,-86
12875923,80,-91
12875924,80,-93
12875925,80,-91
12875926,15,-84
12875927,39,-94
12875928,39,-96
12875929,39,-79
12875930,39,-81
12875931,39,-77
12875932,93,-86
12875933,6,-77
12875934,6,-85
12875935,6,-75
12875936,93,-87
12875937,80,-83
12875938,80,-71
12875939,80,-92
12875940,80,-82
12875941,80,-85
12875942,15,-62
12875943,39,-88
12875944,39,-98
12875945,39,-80
12875946,39,-96
12875947,39,-88
12875948,39,-69
12875949,39,-96
12875950,39,-71
12875951,93,-80
12875952,93,-83
12875953,6,-79
12875954,6,-80
12875955,80,-79
12875956,80,-89
12875957,80,-87
12875958,80,-97
12875959,80,-75
12875960,15,-78
12875961,39,-69
12875962,39,-87
12875963,39,-78
12875964,39,-98
12875965,93,-50
12875966,93,-93
12875967,6,-71
12875968,6,-87
12875969,6,-66
12875970,6,-89
12875971,96,-89
12875972,6,-89
12875973,80,-86
12875974,80,-85
12875975,80,-76
12875976,80,-78
12875977,80,-99
12875978,15,-65
12875979,39,-92
12875980,39,-97
12875981,39,-88
12875982,39,-88
12875983,93,-69
12875984,6,-79
12875985,6,-83
12875986,6,-90
12875987,96,-94
12875988,6,-100
12875989,80,-86
12875990,80,-80
12875991,15,-87
12875992,15,-83
12875993,39,-81
12875994,39,-79
12875995,39,-85
12875996,39,-77
12875997,93,-71
12875998,93,-88
12875999,96,-91
12876000,6,-76
12876001,6,-83
12876002,80,-84
12876003,80,-95
12876004,15,-70
12876005,15,-67
12876006,39,-87
12876007,39,-82
12876008,39,-88
12876009,39,-85
12876010,93,-83
12876011,93,-70
12876012,6,-73
12876013,6,-99
12876014,93,-83
12876015,6,-93
12876016,39,-87
12876017,80,-92
12876018,15,-69
12876019,15,-97
12876020,39,-76
12876021,93,-86
12876022,6,-76
12876023,6,-98
12876024,80,-79
12876025,15,-73
12876026,39,-81
12876027,39,-88
12876028,93,-95
12876029,93,-70
12876030,96,-96
12876031,6,-95
12876032,6,-84
12876033,80,-82
12876034,80,-77
12876035,39,-79
12876036,39,-90
12876037,39,-79
12876038,39,-78
12876039,39,-73
12876040,93,-60
12876041,6,-85
12876042,93,-99
12876043,6,-84
