,-91
12852942,80,-82
12852943,39,-80
12852944,39,-82
12852945,93,-66
12852946,93,-80
12852947,78,-85
12852948,6,-86
12852949,6,-83
12852950,15,-64
12852951,15,-90
12852952,80,-87
12852953,80,-86
12852954,78,-90
12852955,39,-84
12852956,39,-71
12852957,39,-62
12852958,39,-88
12852959,39,-90
12852960,39,-89
12852961,93,-89
12852962,93,-65
12852963,6,-96
12852964,78,-87
12852965,6,-77
12852966,15,-85
12852967,15,-65
12852968,80,-96
12852969,80,-92
12852970,39,-66
12852971,39,-72
12852972,93,-89
12852973,93,-91
12852974,78,-94
12852975,78,-94
12852976,6,-69
12852977,6,-87
12852978,15,-87
12852979,80,-100
12852980,80,-89
12852981,80,-95
12852982,80,-98
12852983,39,-88
12852984,39,-90
12852985,39,-89
12852986,39,-62
12852987,39,-83
12852988,93,-96
12852989,6,-82
12852990,15,-72
12852991,15,-74
12852992,80,-70
12852993,80,-84
12852994,80,-86
12852995,39,-68
12852996,39,-90
12852997,39,-82
12852998,39,-87
12852999,73,-85
12853000,93,-87
12853001,93,-87
12853002,93,-85
12853003,93,-57
12853004,93,-88
12853005,78,-93
12853006,6,-78
12853007,6,-79
12853008,15,-71
12853009,15,-86
12853010,80,-96
12853011,39,-82
12853012,93,-79
12853013,93,-50
12853014,93,-85
12853015,78,-79
12853016,6,-77
12853017,15,-78
12853018,80,-69
12853019,80,-98
12853020,39,-68
12853021,93,-50
12853022,93,-96
12853023,78,-81
12853024,78,-77
12853025,6,-87
12853026,15,-72
12853027,15,-87
12853028,80,-83
12853029,80,-78
12853030,80,-77
12853031,80,-87
12853032,39,-64
12853033,39,-76
12853034,39,-83
12853035,39,-80
12853036,39,-92
12853037,93,-92
12853038,93,-50
12853039,93,-85
12853040,78,-92
12853041,78,-83
12853042,6,-72
12853043,78,-86
12853044,15,-64
12853045,15,-91
12853046,80,-100
12853047,80,-85
12853048,80,-70
12853049,39,-78
12853050,39,-77
12853051,39,-78
12853052,93,-88
12853053,93,-66
12853054,78,-87
12853055,6,-79
12853056,78,-89
12853057,39,-78
12853058,80,-84
12853059,80,-79
12853060,80,-78
12853061,78,-75
12853062,80,-75
12853063,80,-88
12853064,80,-78
12853065,15,-74
12853066,15,-80
12853067,80,-78
12853068,80,-76
12853069,80,-95
12853070,80,-96
12853071,39,-73
12853072,39,-76
12853073,39,-64
12853074,39,-95
12853075,93,-57
12853076,93,-84
12853077,78,-79
12853078,6,-78
12853079,78,-78
12853080,15,-67
12853081,80,-87
12853082,80,-85
12853083,80,-103
12853084,15,-91
12853085,80,-86
12853086,80,-83
12853087,39,-70
12853088,93,-87
12853089,93,-88
12853090,78,-73
12853091,6,-72
12853092,78,-79
12853093,15,-88
12853094,15,-69
12853095,80,-82
12853096,80,-96
12853097,39,-78
12853098,39,-82
12853099,39,-79
12853100,39,-78
12853101,39,-97
12853102,39,-83
12853103,93,-57
12853104,93,-86
12853105,78,-78
12853106,6,-89
12853107,78,-82
12853108,15,-64
12853109,15,-70
12853110,80,-87
12853111,39,-81
12853112,39,-79
12853113,39,-79
12853114,39,-81
12853115,39,-80
12853116,93,-87
12853117,93,-50
12853118,78,-98
12853119,6,-95
12853120,6,-80
12853121,78,-69
12853122,15,-86
12853123,80,-97
12853124,39,-91
12853125,39,-64
12853126,39,-95
12853127,39,-71
12853128,93,-97
12853129,93,-58
12853130,93,-88
12853131,6,-94
12853132,6,-83
12853133,15,-64
12853134,15,-72
12853135,80,-89
12853136,80,-73
12853137,78,-99
12853138,39,-77
12853139,39,-84
12853140,93,-91
12853141,93,-87
12853142,78,-84
12853143,6,-74
12853144,6,-96
12853145,6,-94
12853146,80,-95
12853147,15,-87
12853148,80,-78
12853149,39,-79
12853150,39,-95
12853151,39,-93
12853152,93,-72
12853153,93,-95
12853154,6,-81
12853155,15,-73
12853156,15,-79
12853157,80,-97
12853158,80,-76
12853159,80,-82
12853160,80,-90
12853161,39,-70
12853162,39,-80
12853163,93,-50
12853164,93,-93
12853165,78,-86
12853166,6,-93
12853167,78,-90
12853168,15,-101
12853169,15,-77
12853170,15,-89
12853171,80,-93
12853172,80,-83
12853173,80,-79
12853174,39,-79
12853175,39,-71
12853176,39,-67
12853177,93,-87
12853178,93,-50
12853179,78,-83
12853180,6,-76
12853181,15,-69
12853182,80,-79
12853183,80,-97
12853184,80,-97
12853185,80,-84
12853186,80,-96
12853187,78,-97
12853188,39,-80
12853189,39,-84
12853190,39,-92
12853191,39,-62
12853192,39,-80
12853193,39,-77
12853194,93,-57
12853195,93,-97
12853196,78,-94
12853197,78,-75
12853198,6,-100
12853199,6,-76
12853200,6,-92
12853201,78,-82
12853202,39,-74
12853203,15,-76
12853204,15,-89
12853205,15,-84
12853206,80,-77
12853207,39,-63
12853208,39,-74
12853209,39,-71
12853210,39,-83
12853211,93,-87
12853212,93,-49
12853213,93,-77
12853214,78,-92
12853215,6,-70
12853216,6,-87
12853217,15,-81
12853218,15,-78
12853219,80,-90
12853220,80,-99
12853221,80,-75
12853222,80,-79
12853223,39,-72
12853224,39,-78
12853225,39,-92
12853226,93,-57
12853227,93,-83
12853228,6,-89
12853229,6,-92
12853230,80,-72
12853231,80,-85
12853232,80,-90
12853233,15,-84
12853234,15,-72
12853235,80,-77
12853236,93,-66
12853237,93,-87
12853238,6,-83
12853239,78,-87
12853240,15,-75
12853241,80,-74
12853242,39,-78
12853243,78,-79
12853244,6,-82
12853245,78,-90
12853246,39,-71
12853247,39,-66
12853248,39,-93
12853249,39,-92
12853250,15,-87
12853251,93,-71
12853252,6,-73
12853253,78,-85
12853254,78,-86
12853255,6,-87
12853256,80,-73
12853257,15,-67
12853258,15,-70
12853259,80,-85
12853260,80,-98
12853261,80,-73
12853262,80,-82
12853263,80,-88
12853264,39,-64
12853265,39,-74
12853266,39,-79
12853267,93,-99
12853268,93,-66
12853269,6,-66
12853270,78,-80
12853271,78,-79
12853272,78,-87
12853273,15,-74
12853274,80,-84
12853275,80,-80
12853276,80,-81
12853277,39,-81
12853278,39,-91
12853279,39,-76
12853280,93,-50
12853281,93,-85
12853282,93,-79
12853283,6,-78
12853284,6,-75
12853285,6,-94
12853286,80,-69
12853287,80,-87
12853288,80,-77
12853289,80,-79
12853290,15,-63
12853291,80,-92
12853292,15,-84
12853293,80,-89
12853294,39,-73
12853295,39,-95
12853296,39,-77
12853297,93,-89
12853298,93,-66
12853299,6,-72
12853300,6,-94
12853301,6,-81
12853302,78,-82
12853303,78,-96
12853304,78,-82
12853305,80,-83
12853306,80,-70
12853307,80,-95
12853308,80,-99
12853309,80,-91
12853310,15,-92
12853311,80,-94
12853312,80,-75
12853313,15,-97
12853314,39,-78
12853315,39,-101
12853316,78,-90
12853317,93,-58
12853318,93,-86
12853319,6,-78
12853320,6,-90
12853321,6,-87
12853322,78,-89
12853323,39,-93
12853324,6,-86
12853325,15,-68
12853326,80,-75
12853327,80,-78
12853328,80,-83
12853329,80,-69
12853330,39,-91
12853331,39,-70
12853332,39,-71
12853333,39,-83
12853334,93,-50
12853335,93,-99
12853336,6,-87
12853337,6,-66
12853338,6,-78
12853339,78,-79
12853340,78,-83
12853341,15,-100
12853342,80,-71
12853343,80,-94
12853344,80,-88
12853345,80,-89
12853346,39,-86
12853347,39,-88
12853348,39,-95
12853349,93,-87
12853350,93,-88
12853351,93,-94
12853352,93,-50
12853353,6,-78
12853354,6,-87
12853355,6,-93
12853356,6,-68
12853357,78,-80
12853358,78,-88
12853359,78,-78
12853360,15,-70
12853361,80,-70
12853362,15,-71
12853363,80,-82
12853364,80,-68
12853365,80,-76
12853366,80,-80
12853367,39,-77
12853368,39,-92
12853369,39,-84
12853370,39,-79
12853371,39,-68
12853372,93,-49
12853373,93,-100
12853374,93,-80
12853375,6,-78
12853376,6,-73
12853377,6,-67
12853378,6,-88
12853379,78,-98
12853380,78,-85
12853381,78,-83
12853382,15,-68
12853383,15,-78
12853384,80,-76
12853385,80,-94
12853386,80,-80
12853387,80,-82
12853388,80,-97
12853389,39,-75
12853390,39,-69
12853391,39,-90
12853392,39,-96
12853393,93,-73
12853394,93,-72
12853395,93,-89
12853396,93,-84
12853397,6,-85
12853398,6,-71
12853399,6,-84
12853400,80,-72
12853401,80,-77
12853402,80,-71
12853403,80,-83
12853404,80,-80
12853405,39,-77
12853406,39,-76
12853407,39,-91
12853408,39,-83
12853409,39,-93
12853410,93,-50
12853411,93,-79
12853412,6,-76
12853413,6,-82
12853414,6,-70
12853415,6,-93
12853416,78,-78
12853417,78,-92
12853418,80,-91
12853419,80,-88
12853420,80,-82
12853421,15,-71
12853422,15,-85
12853423,80,-85
12853424,39,-71
12853425,39,-64
12853426,39,-97
12853427,39,-77
12853428,93,-57
12853429,93,-84
12853430,93,-102
12853431,93,-73
12853432,6,-80
12853433,6,-90
12853434,6,-84
12853435,78,-84
12853436,78,-72
12853437,78,-73
12853438,15,-75
12853439,39,-91
12853440,39,-72
12853441,39,-86
12853442,39,-81
12853443,93,-50
12853444,93,-88
12853445,93,-79
12853446,6,-74
12853447,6,-80
12853448,78,-82
12853449,78,-78
12853450,6,-101
12853451,78,-77
12853452,80,-83
12853453,80,-76
12853454,80,-81
12853455,15,-97
12853456,15,-70
12853457,15,-69
12853458,39,-81
12853459,93,-87
12853460,93,-87
12853461,78,-79
12853462,78,-84
12853463,80,-73
12853464,80,-72
12853465,80,-86
12853466,80,-78
12853467,15,-77
12853468,80,-95
12853469,15,-90
12853470,93,-65
12853471,6,-78
12853472,6,-74
12853473,6,-78
12853474,78,-84
12853475,78,-100
12853476,78,-68
12853477,80,-77
12853478,15,-86
12853479,80,-92
12853480,80,-97
12853481,80,-76
12853482,15,-71
12853483,39,-68
12853484,39,-82
12853485,39,-80
12853486,93,-88
12853487,93,-72
12853488,93,-94
12853489,93,-87
12853490,6,-75
12853491,6,-91
12853492,6,-71
12853493,6,-84
12853494,78,-78
12853495,80,-86
12853496,80,-84
12853497,80,-78
12853498,80,-96
12853499,80,-82
12853500,80,-95
12853501,15,-72
12853502,15,-75
12853503,39,-104
12853504,39,-65
12853505,39,-76
12853506,39,-81
12853507,39,-80
12853508,93,-49
12853509,6,-70
12853510,6,-80
12853511,6,-80
12853512,78,-79
12853513,78,-90
12853514,39,-89
12853515,39,-88
12853516,78,-91
12853517,39,-75
12853518,78,-85
12853519,80,-80
12853520,15,-63
12853521,80,-77
12853522,80,-79
12853523,39,-86
12853524,39,-87
12853525,39,-96
12853526,93,-73
12853527,93,-96
12853528,93,-58
12853529,93,-99
12853530,6,-72
12853531,78,-77
12853532,78,-75
12853533,80,-85
